SENTENCE,ITEM 1,ITEM 2,ITEM 3,ITEM 4,ITEM 5
"The intravenous preparation appears to be safe and maintains serum ferritin concentrations, and it may be indicated for patients with low ferritin levels and for those not established on enteral feedings.",0,0,0,0,0
The Role if High-Dose Oral Iron Supplementation During Erythropoietin Therapy for Anemia of Prematurity,0,0,0,0,0
Objective: To assess whether a high intake of oral iron would increase the effect of recombinant human erythropoietin (rHuEPO) on hemoglobin synthesis.,0,0,0,0,0
"Methods: We studied 30 preterm infants (gestational age 29+/-1.8 weeks, birth weight 1161+/-200 g, at age of 28+/-10 days) who were randomly assigned to receive either 8 mg/kg per day (n=15) or 16 mg/kg per day of oral iron during a course of rHuEPO therapy (900 microg/kg per week) for a duration of 4 weeks",1,0,0,1,0
Both groups were comparable in regard to clinical and laboratory data at the time of enrollment.,0,0,0,0,0
"Results: rHuEPO caused a significant increase in reticulocyte count in the low- and high-dose iron groups, 17.1+/-5.3 to 34.7+/-9.2 and 16.3+/-3.3 to 42.5+/-5.6 (10(9)/l), respectively (p<0.05)",0,0,0,0,0
"However, in both groups, hematocrit values remained stable at the end of the study as compared to baseline (0.35+/-0.03% vs",0,0,0,0,0
"0.30+/-0.03%, 0.35+/-0.05% vs",0,0,0,0,0
"0.30+/-0.03%, NS) and in both groups there was a comparable and significant decrease in ferritin level (259+/-109 to 101+/-40 and 168+/-54 to 69+/-38 microg/l, respectively; p<0.01)",0,0,0,0,0
"The rates of bloody stools without any evidence of necrotizing enterocolitis were not significantly different between the two treatment groups (1/15 vs 4/15, NS).",0,0,0,0,0
Conclusion: We conclude that a higher dose (16 mg/kg per day) of oral iron is not more beneficial when compared to a lower dose (8 mg/kg per day) during rHuEPO therapy for anemia of prematurity,0,0,0,0,0
Further studies will define the optimal dosage and route of administration of iron supplementation during rHuEPO therapy,0,0,0,0,0
Safety and efficacy of ibuprofen versus indomethacin in preterm infants treated for patent ductus arteriosus: a randomised controlled trial,1,0,0,0,0
"Indomethacin (INDO) and, more recently, ibuprofen (IBU) have been used to treat haemodynamically significant patent ductus arteriosus (PDA) in preterm infants",0,0,0,0,0
"Both are cyclo-oxygenase blockers, but seem to have a different influence on regional circulation",0,0,0,0,0
"In a prospective, randomised, controlled study, we compared INDO and IBU with regard to efficacy and safety for the early non-invasive treatment of PDA",1,0,0,0,0
"Doppler echocardiography was used to study 232 preterm infants (gestational age 23-34 weeks) with respiratory distress syndrome of whom 175 had persistent, haemodynamically significant PDA at 48-72 h of life",0,0,0,0,0
"They were randomised to receive three intravenous doses of either INDO (0.2 mg/kg, at 12 h intervals) or IBU (a first 10 mg/kg dose followed by two doses of 5 mg/kg at 24 h intervals), recording rate of ductal closure, need for additional treatment, side-effects and clinical course",1,0,0,1,0
"The efficacy of the pharmacological treatment was similar in the two groups (56/81, 69% INDO; 69/94, 73% IBU)",0,0,0,0,0
"Patients treated with INDO showed a significant increase in serum creatinine (89 +/- 24 versus 82 +/- 20 mmol/l, P = 0.03) and a near-significant tendency for a lower fractional excretion of sodium (3 +/- 3 versus 4 +/- 2%, P = 0.08); moreover, 12/81 (15%) INDO patients versus 1/94 (1%) IBU patients became oliguric (< 1 ml/kg per h) during treatment (P = 0.017).",0,0,0,0,0
"Conclusion: Our findings confirm that, by comparison with indomethacin, ibuprofen has fewer effects on renal function in terms of urine output and fluid retention, with much the same efficacy and safety in closing patent ductus arteriosus in preterm infants with respiratory distress syndrome",0,0,0,0,0
"In particular, no increased incidence of intracranial haemorrhage was observed after ibuprofen treatment.",0,0,0,0,0
A comparison of ibuprofen and indomethacin for closure of patent ductus arteriosus,0,0,0,0,0
Background: Indomethacin is the conventional treatment for hemodynamically important patent ductus arteriosus in preterm infants,0,0,0,0,0
"However, its use is associated with various side effects",0,0,0,0,0
"In a prospective study, we compared ibuprofen and indomethacin with regard to efficacy and safety for the early treatment of patent ductus arteriosus in preterm infants.",0,0,0,0,0
"Methods: We studied 148 infants (gestational age, 24 to 32 weeks) who had the respiratory distress syndrome and an echocardiographically confirmed, hemodynamically important patent ductus arteriosus",0,0,0,0,0
"The infants were randomly assigned at five neonatal intensive care centers to receive three intravenous doses of either indomethacin (0.2 mg per kilogram of body weight, given at 12-hour intervals) or ibuprofen (a first dose of 10 mg per kilogram, followed at 24-hour intervals by two doses of 5 mq per kilogram each), starting on the third day of life",1,0,0,1,0
"The rate of ductal closure, the need for additional treatment, side effects, complications, and the infants' clinical course were recorded.",0,0,0,0,0
"Results: The rate of ductal closure was similar with the two treatments: ductal closure occurred in 49 of 74 infants given indomethacin (66 percent), and in 52 of 74 given ibuprofen (70 percent) (relative risk, 0.94; 95 percent confidence interval, 0.76 to 1.17; P=0.41)",0,0,0,0,0
The numbers of infants who needed a second pharmacologic treatment or surgical ductal ligation did not differ significantly between the two groups,0,0,0,0,0
Oliguria occurred in 5 infants treated with ibuprofen and in 14 treated with indomethacin (P=0.03),0,0,0,0,0
There were no significant differences with respect to other side effects or complications.,0,0,0,0,0
Conclusions: Ibuprofen therapy on the third day of life is as efficacious as indomethacin for the treatment of patent ductus arteriosus in preterm infants with the respiratory distress syndrome and is significantly less likely to induce oliguria.,0,0,0,0,0
Treatment of patent ductus arteriosus with ibuprofen,0,0,0,0,0
AIM—To evaluate the efficiency and side effects of ibuprofen for the early treatment of patent ductus arteriosus (PDA)and compare it with indomethacin.,0,0,0,0,0
"METHODS—Forty preterm infants with gestational ages of less than 33 weeks, with respiratory distress syndrome (RDS) and echocardiographically confirmed PDA, were randomly assigned at days 2 to 3 of life to receive either intravenous indomethacin 3 × 0.2 mg/kg at 12 hour intervals or intravenous ibuprofen 1 × 10 mg/kg, followed by 5 mg/kg 24 and 48 hours later.",1,0,0,1,0
RESULTS—PDA closed in 15 of 20 patients from the indomethacin group (75%) and in 16 of 20 (80%) from the ibuprofen group,0,0,0,0,0
"Seven patients (three indomethacin, four ibuprofen) required a second treatment with indomethacin and in five (three in the indomethacin group and two in the ibuprofen group) the duct was ultimately ligated",0,0,0,0,0
Ibuprofen patients had a better urinary output and showed no increase in serum creatinine concentrations compared with the indomethacin group,0,0,0,0,0
Ibuprofen was not associated with any other side effect.,0,0,0,0,0
CONCLUSIONS—Ibuprofen treatment seems to be as efficient as indomethacin in closing PDA on the third day of life in preterm infants with respiratory distress syndrome and seems to have fewer renal side effects.,0,0,0,0,0
Oral ibuprofen and indomethacin for treatment of patent ductus arteriosus in premature infants: a randomized trial at Ramathibodi Hospital,1,0,0,0,0
Background: Ibuprofen given intravenously to premature newborn infants is a proven treatment for patent ductus arteriosus (PDA),0,0,0,0,0
The efficacy of ibuprofen is comparable to indomethacin in many clinical trials with fewer renal side effects,0,0,0,0,0
"However, the intravenous form of ibuprofen is not available in Thailand, whereas, the oral suspension form is widely used for antipyretic treatment in children",0,0,0,0,0
"Therefore, the authors investigated the possibilities of using oral ibuprofen for the treatment of PDA in premature newborn infants.",0,0,0,0,0
Objective: To assess whether oral ibuprofen at 10 mg/kg/dose daily for 3 days was as effective as indomethacin to treat symptomatic PDA in premature infants and to compare the side effects of oral ibuprofen to indomethacin.,0,0,0,0,0
"The rates of ductal closure, infants' clinical courses, side effects and complications were recorded.",0,0,0,0,0
"Results: Birth weight, gestational age, gender, age onset and number of infants who had respiratory distress syndrome were similar in both groups, PDA was closed in 7 of 9 infants given ibuprofen (78%) and in 8 of 9 infants given indomethacin (89%) (p > 0.05)",0,0,0,0,0
Subjects and method: Eighteen premature infants with gestational ages less than 34 weeks born at Ramathibodi Hospital who developed symptomatic PDA were randomly assigned to receive three doses of either indomethacin (oral or intravenous administration 0.2 mg/kg/dose for three doses given at 12 hourly intervals or oral ibuprofen (10 mg/kg/dose for three doses given at 24 hourly intervals),1,0,0,1,0
The mean plasma concentration of ibuprofen was 28.05 microg/ml at 1 hour after the third dose,0,0,0,0,0
Neonates in the ibuprofen group had more urine output,0,0,0,0,0
"However, the increment of serum BUN and creatinine were not significantly different in both groups",0,0,0,0,0
"There were no significant differences in duration of ventilator support as well as number of patients with bronchopulmonary dysplasia, intraventricular hemorrhage, necrotizing enterocolitis and death in both groups.",0,0,0,0,0
Conclusion: Oral ibuprofen therapy is as effective as indomethacin for the treatment of PDA in premature infants and seems to have fewer renal side effects.,0,0,0,0,0
Helium-oxygen versus air-oxygen noninvasive pressure support in decompensated chronic obstructive disease: A prospective multi-center study,0,0,0,0,0
"Objective: To study whether noninvasive pressure support ventilation (NIPSV) with helium/oxygen (He/oxygen), which can reduce dyspnea, PaCO2, and work of breathing more than NIPSV with air/oxygen in decompensated chronic obstructive pulmonary disease, could have beneficial consequences on outcome and hospitalization costs.",0,0,0,0,0
"Design: Prospective, randomized, multicenter study.",1,0,0,0,0
Setting: Intensive care units of three tertiary care university hospitals.,0,0,0,0,0
Patients: All patients with chronic obstructive pulmonary disease admitted to the intensive care units for NIPSV during a 24-month period.,0,0,0,0,0
Interventions: Patients were randomized to NIPSV with air/oxygen or He/oxygen,1,0,0,0,0
"NIPSV settings, number of daily trials, decision to intubate, and intensive care unit and hospital discharge criteria followed standard practice guidelines.",0,0,0,0,0
"Results: A total of 123 patients (male/female ratio, 71:52; age, 71 +/- 10 yrs, Acute Physiology and Chronic Health Evaluation II, 17 +/- 4) were included",0,0,0,0,0
Intubation rate (air/oxygen 20% vs,0,0,0,0,0
He/oxygen 13%) and length of stay in the intensive care unit (air/oxygen 6.2 +/- 5.6 vs,0,0,0,0,0
He/oxygen 5.1 +/- 4 days) were comparable,0,0,0,0,0
The post-intensive care unit hospital stay was lower with He/oxygen (air/oxygen 19 +/- 12 vs,0,0,0,0,0
"He/oxygen 13 +/- 6 days, p < .002)",0,0,0,0,0
"Cost of NIPSV gases was higher with He/oxygen, but total hospitalization costs were lower by $3,348 per patient with He/oxygen",0,0,0,0,0
No complications were associated with the use of He/oxygen.,0,0,0,0,0
"Conclusion: He/oxygen did not significantly reduce intubation rate or intensive care unit stay, but hospital stay was shorter and total costs were lower",0,0,0,0,0
He/oxygen NIPSV can be safely administered and could prove to be a cost-effective strategy.,0,0,0,0,0
Helium/oxygen mixture reduces the work of breathing at the end of the weaning process in patients with severe chronic obstructive pulmonary diseas,0,0,0,0,0
Objective: To test the hypothesis that helium/oxygen mixture can reduce the work of breathing at the end of the weaning process in patients with chronic obstructive pulmonary disease.,0,0,0,0,0
"Design: Prospective, randomized, crossover study.",1,0,0,0,0
Setting: Two medical intensive care units at two university tertiary care centers.,0,0,0,0,0
It was possible to repeat the study after extubation in five patients.,0,0,0,0,0
"Measurements and main results: Before extubation, the helium/oxygen mixture induced no significant variation in the breathing pattern",0,0,0,0,0
Patients: Thirteen patients with chronic obstructive pulmonary disease evaluated just before and after extubation.,0,0,0,0,0
"Interventions: Helium/oxygen and air/oxygen mixtures were administered sequentially, for 20 mins each, in a randomized order, just before extubation",1,0,0,0,0
"By contrast, it reduced the work of breathing from 1.442 +/- 0.718 J/L (mean +/- sd) to 1.133 +/- 0.500 J/L (p <.05)",0,0,0,0,0
This reduction was explained mainly by a reduction in the resistive component of the work of breathing from 0.662 +/- 0.376 to 0.459 +/- 0.256 J/L (p <.01),0,0,0,0,0
We also observed a slight reduction in the intrinsic positive end-expiratory pressure from 2.9 +/- 2.1 cm H(2)O to 2.1 +/- 1.8 cm H(2)O (p <.05),0,0,0,0,0
Similar results were also observed after extubation in five patients in whom the repetition of the study was possible.,0,0,0,0,0
"Conclusions: In spontaneously breathing intubated patients with chronic obstructive pulmonary disease recovering from an acute exacerbation, helium/oxygen mixture reduces the work of breathing as well as intrinsic positive end-expiratory pressure without modifying the breathing pattern.",0,0,0,0,0
Noninvasive ventilation with Helium-oxygen in acute exacerbation of chronic obstructive pulmonary disease,0,0,0,0,0
The use of helium-oxygen (HeO(2)) was tested in combination with noninvasive ventilation (NIV) in 10 patients with acute exacerbation of chronic obstructive pulmonary disease (COPD),0,0,0,0,0
"Effort to breathe as assessed by the respiratory muscle pressure-time index (PTI), work of breathing (WOB), and gas exchange were the main endpoints",0,0,0,0,0
"Results of NIV-HeO(2) were compared with those obtained with standard NIV (AirO(2)), at two levels of pressure-support ventilation (PSV), 9 +/- 2 cm H(2)O and 18 +/- 3 cm H(2)O",0,0,0,0,0
Significant reductions in PTI were observed between HeO(2) and AirO(2) at both the low PSV level (n = 9; 160 +/- 58 versus 198 +/- 78 cm H(2)O/s/ min; p < 0.05) and the high PSV level (n = 10; 100 +/- 45 versus 150 +/- 82 cm H(2)O/s/min; p < 0.01),1,0,0,0,0
"WOB also differed significantly between HeO(2) and AirO(2) (7.8 +/- 4.1 versus 10.9 +/- 6.1 J/min at the low PSV level, p < 0.05; and 5.7 +/- 3.3 versus 9.2 +/- 5",0,0,0,0,0
"J/min, p < 0.01 at the high PSV level)",0,0,0,0,0
"HeO(2) reduced Pa(CO(2)) at both the low PSV level (61 +/- 13 versus 64 +/- 15 mm Hg; p < 0.05) and the high PSV level (56 +/- 13 versus 58 +/- 14 mm Hg; p < 0.05), without significantly changing breathing pattern or oxygenation",0,0,0,0,0
We conclude that use of HeO(2) during NIV markedly enhances the ability of NIV to reduce patient effort and to improve gas exchange.,0,0,0,0,0
Randomized trial of the use of heliox as a driving gas for updraft nebulization of bronchodilators in the emergent treatment of acute exacerbation of chronic obstructive pulmonary disease,1,0,0,0,0
Objective: To determine whether the bronchodilator effects of albuterol and ipratropium bromide are greater if updraft nebulization is driven by 80% helium and 20% oxygen (HELIOX) than if driven by compressed room air (AIR) during the treatment of an acute exacerbations of chronic obstructive pulmonary disease (COPD).,0,0,0,0,0
Setting: The emergency department of a 750-bed inner-city community hospital.,0,0,0,0,0
"Methods: Over a 12-month period, a convenience sample of 50 normoxic patients presenting with signs and symptoms of an acute exacerbation of COPD were prospectively randomized to receive either HELIOX or AIR as the driving gas for updraft nebulization of a mixture of albuterol 2.5 mg and ipratropium bromide 0.5 mg",1,0,0,1,0
"Additional aerosol treatments with albuterol 2.5 mg were given at 20, 40, and 120 mins after randomization using the assigned gas",1,0,0,0,0
Spirometry was obtained while breathing room air before the first treatment (baseline) and at 1 hr and 2 hrs after the initiation of treatment,0,0,0,0,0
The primary measure of efficacy was the change in percent of predicted forced expiratory volume in 1 sec (FEV1) over the treatment period,0,0,0,0,0
A secondary measure of efficacy was the change in percentage of predicted forced expiratory flow after 25% to 75% of vital capacity had been expelled (FEF25-75).,0,0,0,0,0
Results: Twenty-five patients were randomized to each treatment group,1,0,0,0,0
"Three patients (1 HELIOX, 2 AIR) were unable to complete the study",0,0,1,0,0
"The baseline FEV1was 44% (95% confidence interval, 35% to 52%) of predicted in the HELIOX group and 39 (31% to 46%) of predicted in the AIR group",0,0,0,0,0
There were no adverse outcomes observed in either the HELIOX group or the AIR group,0,0,0,0,0
"There were no significant differences in the change of FEV1 between the two groups by either the 1 hr or 2 hr time point (1 hr, HELIOX + 10% [7% to 13%], AIR + 9% [5% to 13%]; 2 hr HELIOX + 10% [6% to 15%], AIR + 10% [6% to 14%])",0,0,0,0,0
The improvement in FEF25-75 was significantly greater in the HELIOX group than in the AIR group at both the 1 hr time point (HELIOX + 14% [7% to 22%] vs,0,0,0,0,0
"AIR + 7% [3% to 10%], p = .05) and at the 2 hr time point (HELIOX + 15% [8% to 21%] vs",0,0,0,0,0
"AIR + 7% [4% to 11%], p = .05).",0,0,0,0,0
Conclusion: Use of HELIOX as a driving gas for the updraft nebulization of bronchodilators during the first 2 hrs of treatment of an acute COPD exacerbation failed to improve FEV1 faster than the use of AIR,0,0,0,0,0
The faster improvement in FEF25-75 during the first 2 hrs of treatment was small and of uncertain clinical significance.,0,0,0,0,0
Effects of Helium-oxygen on intrinsic positive end-expiratory pressure in intubated and mechanically ventilated patients with severe chronic obstructive pulmonary disease,0,0,0,0,0
"Objective: To test the hypothesis that replacing 70:30 nitrogen: oxygen (Air-O2) with 70:30 helium:oxygen (He-O2) can decrease dynamic hyperinflation (""intrinsic"" positive end-expiratory pressure) in mechanically ventilated patients with chronic obstructive pulmonary disease (COPD), and to document the consequences of such an effect on arterial blood gases and hemodynamics.",0,0,0,0,0
"Design: Prospective, interventional study.",0,0,0,0,0
"Setting: Medical intensive care unit, university tertiary care center.",0,0,0,0,0
"Patients: Twenty-three intubated, sedated, paralyzed, and mechanically ventilated patients with COPD enrolled within 36 hrs after intubation.",0,0,0,0,0
"Interventions: Measurements were taken at the following time points, all with the same ventilator settings: a) baseline; b) after 45 mins with He-O2; c) 45 mins after return to Air-O2",0,0,0,0,0
The results were then compared to those obtained in a test lung model using the same ventilator settings,0,0,0,0,0
MAIN RESULTS (MEAN + SD): Trapped lung volume and intrinsic positive end-expiratory pressure decreased during He-O2 ventilation (215+/-125 mL vs,0,0,0,0,0
99+/-15 mL and 9+/-2.5 cm H2O vs,0,0,0,0,0
"5+/-2.7 cm H2O, respectively; p < .05)",0,0,0,0,0
"Likewise, peak and mean airway pressures declined with He-O2 (30+/-5 cm H2O vs",0,0,0,0,0
25+/-6 cm H2O and 8+/-2 cm H2O vs,0,0,0,0,0
"7+/-2 cm H2O, respectively; p < .05)",0,0,0,0,0
These parameters all rose to their baseline values on return to Air-O2 (p < .05 vs,0,0,0,0,0
values during He-O2),0,0,0,0,0
These results were in accordance with those obtained in the test lung model,0,0,0,0,0
"There was no modification of arterial blood gases, heart rate, or mean systemic arterial blood pressure",0,0,0,0,0
"In 12/23 patients, a pulmonary artery catheter was in place, allowing hemodynamic measurements and venous admixture calculations",0,0,0,0,0
"Switching to He-O2 and back to Air-O2 had no effect on pulmonary artery pressures, right and left ventricular filling pressures, cardiac output, pulmonary and systemic vascular resistance, or venous admixture.",0,0,0,0,0
"Conclusion: In mechanically ventilated COPD patients with intrinsic positive end-expiratory pressure, the use of He-O2 can markedly reduce trapped lung volume, intrinsic positive end-expiratory pressure, and peak and mean airway pressures",0,0,0,0,0
No effect was noted on hemodynamics or arterial blood gases,0,0,0,0,0
"He-O2 might prove beneficial in this setting to reduce the risk of barotrauma, as well as to improve hemodynamics and gas exchange in patients with very high levels of intrinsic positive end-expiratory pressure.",0,0,0,0,0
Beneficial effects of Helium :oxygen versus air :oxygen noninvasive pressure support in patients with decompensated chronic obstructive pulmonary disease,0,0,0,0,0
"Objective: To test the hypothesis that, in decompensated chronic obstructive pulmonary disease (COPD), noninvasive pressure support ventilation using 70:30 helium:oxygen instead of 70:30 air:oxygen could reduce dyspnea and improve ventilatory variables, gas exchange, and hemodynamic tolerance.",0,0,0,0,0
"Design: Prospective, randomized, crossover study.",1,0,0,0,0
"Setting: Medical intensive care unit, university tertiary care center.",0,0,0,0,0
Patients: Nineteen patients with severe COPD (forced 1-sec expiratory volume of 0.83+/-0.3 l) hospitalized in the intensive care unit for noninvasive pressure support ventilation after initial stabilization with noninvasive pressure support for no more than 24 hrs after intensive care unit admission.,0,0,0,0,0
Interventions: Noninvasive pressure support ventilation was administered in the following randomized crossover design: a) 45 min with air:oxygen or helium:oxygen; b) no ventilation for 45 min; and c) 45 min with air:oxygen or helium:oxygen.,1,0,0,1,0
Measurements and main results: Air:oxygen and helium:oxygen decreased respiratory rate and increased tidal volume and minute ventilation,0,0,0,0,0
Helium:oxygen decreased inspiratory time,0,0,0,0,0
"Both gases increased total respiratory cycle time and decreased the inspiratory/total time ratio, the reduction in the latter being significantly greater with helium:oxygen",0,0,0,0,0
Peak inspiratory flow rate increased more with helium:oxygen,0,0,0,0,0
"PaO2 increased with both gases, whereas PaCO2 decreased more with helium:oxygen (values shown are mean+/-SD) (52+/-6 torr [6.9+/-0.8 kPa] vs",0,0,0,0,0
55+/-8 torr [7.3+/-1.1 kPa] and 48+/-6 torr [6.4+/-0.8 kPa] vs,0,0,0,0,0
"54+/-7 torr [7.2+/-0.9 kPa] for air:oxygen and helium:oxygen, respectively; p<.05)",0,0,0,0,0
"When hypercapnia was severe (PaCO2 >56 torr [7.5 kPa]), PaCO2 decreased by > or =7.5 torr (1 kPa) in six of seven patients with helium:oxygen and in four of seven patients with air:oxygen (p<.01)",0,0,0,0,0
Dyspnea score (Borg scale) decreased more with helium:oxygen than with air:oxygen (3.7+/-1.6 vs,0,0,0,0,0
4.5+/-1.4 and 2.8+/-1.6 vs,0,0,0,0,0
"4.6+/-1.5 for air:oxygen and helium:oxygen, respectively; p<.05)",0,0,0,0,0
Mean arterial blood pressure decreased with air:oxygen (76+/-12 vs,0,0,0,0,0
82+/-14 mm Hg; p<.05) but remained unchanged with helium:oxygen.,0,0,0,0,0
"Conclusion: In decompensated COPD patients, noninvasive pressure support ventilation with helium:oxygen reduced dyspnea and PaCO2 more than air:oxygen, modified respiratory cycle times, and did not modify systemic blood pressure",0,0,0,0,0
These effects could prove beneficial in COPD patients with severe acute respiratory failure and might reduce the need for endotracheal intubation.,0,0,0,0,0
Helium-oxygen breathing in severe COPD,0,0,0,0,0
The effect of breathing helium-oxygen (He-O2) mixtures was evaluated in 15 patients with severe chronic obstructive pulmonary disease (COPD),0,0,0,0,0
Gas exchange was assessed during quiet breathing at rest before and after 15 minutes of breathing 80 percent He-20 percent O2 mixtures in all patients,0,0,0,0,0
"Functional residual capacity (FRC) determined during argon (Ar) washing studies fell significantly while breathing He-O2, but we did not find significant changes in minute ventilation, tidal volume, respiratory frequency, or inspiratory or expiratory timing",0,0,0,0,0
Eleven patients showed decreases in arterial PCO2 and CO2 excretion during resting breathing on He-O2,0,0,0,0,0
Expiratory flows were increased at a given lung volume during He-O2 breathing as expected,0,0,0,0,0
"Apparently, mechanical work of breathing was decreased in patients with severe COPD while breathing He-O2, leading to a reduction in VCO2 and improvement in overall alveolar ventilation",0,0,0,0,0
These findings lend support to the therapeutic use of He-O2 under some conditions in patients with severe COPD.,0,0,0,0,0
Tranexamic acid in upper gastrointestinal haemorrhage,0,0,0,0,0
"In a double-blind trial in patients with bleeding from the upper gastrointestinal tract, those whose source of bleeding was distal to the gastro-œsophageal junction and whose barium-meal examination was negative benefited from oral tranexamic acid ('Cyclokapron') (1·5 g., eight-hourly)",0,1,0,0,0
"The volume of blood required for retransfusion was less in the treated group, especially in those patients with a negative barium-meal examination",0,0,0,0,0
"These findings are compatible with the concept of a fibrinolytic component in upper gastrointestinal bleeding, which may be of particular importance when bleeding is due to acute superficial erosions.",0,0,0,0,0
Tranexamic acid and upper gastrointestinal haemorrhage--a double-blind trial,0,1,0,0,0
The efficacy of antifibrinolytic therapy in the management of acute upper gastrointestinal haemorrhage has been investigated in a double-blind clinical trial,0,1,0,0,0
"Two-hundred patients were studied using tranexamic acid, a potent antifibrinolytic agent",0,0,0,0,0
"Of these, 103 were in the treatment group and 97 in the control group",0,0,0,0,0
"Patients were analysed to determine severity of initial blood loss, transfusion requirements, together with the incidence of recurrent bleeding, surgical intervention, and death",0,0,0,0,0
"Final diagnosis as to the site of bleeding was arrived at using endoscopy, barium studies, and the findings at operation and necropsy",0,0,0,0,0
"The groups were well matched as regards severity of initial haemorrhage, age, sex, aetiological diagnosis, and precipitating factors",0,0,0,0,0
A significant difference was observed in the requirement for surgical intervention to control continuing or recurrent haemorrhage,0,0,0,0,0
Twenty-three of 97 in the control group and seven of 103 in the treatment group required surgery,0,0,0,0,0
There appeared to be a reduction in the transfusion rate after the first three days of hospitalization in the treatment group,0,0,0,0,0
There were no significant differences in mortality or in side-effects between the two groups.,0,0,0,0,0
Tranexamic acid in massive haemorrhage from the upper gastrointestinal tract: a double-blind study,0,1,0,0,0
"In a double-blind trial of tranexamic acid in massive upper gastrointestinal haemorrhage, 76 patients were treated with the active drug and 73 patients with placebo",0,1,0,0,0
"The doses were 1 g intravenously six times daily for a maximum of 3 days, followed by 1.5 g orally four times daily for a maximum of 4 days",0,0,0,0,0
"The treatment group and the placebo group were comparable with respect to mean age, diagnoses and laboratory tests but differed slightly with respect to sex and alcohol consumption",0,0,0,0,0
"The transfusion requirement in the treatment group was less than in the placebo group during the first days after admission, the difference being significant on the second day after admission",0,0,0,0,0
Ten patients in the treatment group and 18 patients in the placebo group were operated on,0,0,0,0,0
Eleven patients in the treatment group and 12 patients in the placebo group died,0,0,0,0,0
In the tranexamic-acid-treated group fewer operations were performed and significantly less blood was needed,0,0,0,0,0
"It therefore seems highly likely that tranexamic acid has a beneficial effect, although small.",0,0,0,0,0
Local inhibition of the fibrinolytic system in patients with massive upper gastrointestinal hemorrhage,0,0,0,0,0
The effect or oral tranexamic acid on massive upper gastrointestinal hemorrhage was evaluated in a randomized double-blind study,1,1,0,0,0
"Totally 50 patients entered the trial and seven were excluded, leaving 22 placebo treated and 21 tranexamic acid treated for analysis",0,0,1,0,0
"The groups were comparable regarding sex, age, diagnosis, and initial laboratory data",0,0,0,0,0
Transfusions requirements and operation frequency did not differ,0,0,0,0,0
Mortality was slightly reduced and death delayed in tranexamic acid treated patients.,0,0,0,0,0
Cimetidine and tranexamic acid in the treatment of acute upper-gastrointestinal-tract bleedin,0,0,0,0,0
We studied the effects of tranexamic acid (an antifibrinolytic agent) and cimetidine on acute upper-gastrointestinal-tract bleeding in a double-blind randomized placebo-controlled trial in 775 patients with hematemesis or melena or both,1,1,0,0,0
"Mortality was significantly reduced in patients receiving either tranexamic acid (mortality, 6.3 per cent) or cimetidine (7.7 per cent), as compared with patients receiving placebo (13.5 per cent) (P = 0.0092 for tranexamic acid vs",0,0,0,0,0
"placebo, P = 0.045 for cimetidine vs",0,0,0,0,0
placebo),0,0,0,0,0
"Ninety-nine patients were withdrawn before the code was broken, mainly because their primary illness was considered not to be due to acute upper-gastrointestinal-tract bleeding",0,0,1,0,0
"Mortality among those withdrawn was high (22 per cent), and their exclusion reduced death rates to 4 per cent in those given tranexamic acid, 8 per cent in those given cimetidine, and 11 per cent in those given placebo (P = 0.0072 for tranexamic acid vs",0,0,1,0,0
"placebo, P greater than 0.50 for cimetidine vs",0,0,0,0,0
placebo),0,0,0,0,0
The reduced mortality associated with tranexamic acid was detectable at both participating hospitals and in most of the main subgroups of patients classified according to site of bleeding,0,0,0,0,0
"However, treatment with this agent was not associated with any decrease in the rate of rebleeding or the need for operation.",0,0,0,0,0
Tranexamic acid as an aid to reducing blood transfusion requirements in gastric and duodenal bleeding,0,0,0,0,0
A prospective randomised double blind study examined the effect of the antifibrinolytic drug tranexamic acid compared with placebo in 154 patients bleeding from verified benign lesions in the stomach or duodenum or both,1,1,0,0,0
Three out of 72 patients receiving tranexamic acid underwent emergency surgery compared with 15 out of 82 given placebo (p = 0.010),0,0,0,0,0
Nineteen patients receiving placebo rebled during their admission as compared with 10 in the active treatment group (p = 0.097),0,0,0,0,0
Blood transfusion requirements were significantly reduced by tranexamic acid (p = 0.018),0,0,0,0,0
"Side effects occurred in six patients, of which an uncomplicated deep venous thrombosis was the most severe",0,0,0,0,0
Tranexamic acid reduces the blood transfusion requirement and need for emergency surgery in patients bleeding from a benign gastric or duodenal lesion.,0,0,0,0,0
Oral dexamethasone in the treatment of croup: 0.15 mg/kg versus 0.3 mg/kg versus 0.6 mg/kg,0,0,0,0,0
"The objective of this study was to compare the efficacy of a single dose of oral dexamethasone of varying sizes in 120 children hospitalized with croup in two sequential double blind, randomized, controlled clinical trials (Trials A and B)",1,1,0,0,0
The study was conducted in the Emergency Department Observation Ward of a tertiary pediatric hospital,0,0,0,0,0
One hundred and twenty children (age range 6 to 160 months) hospitalized with croup participated,0,0,0,0,0
Baseline characteristics for the two groups in each trial were similar,0,0,0,0,0
In Trial A 60 children received either 0.6 or 0.3 mg/kg dexamethasone syrup; in Trial B 60 children received either 0.3 or 0.15 mg/ kg dexamethasone syrup,0,0,0,0,0
"Duration of hospitalization, reduction in croup scores, and adrenaline usage were evaluated",0,0,0,0,0
"Median duration of hospitalization was similar for children in Trial A (7 and 8 hr), and in Trial B (9 and 9 hr)",0,0,0,0,0
Croup scores following treatment did not differ and were significantly lower than initial scores for all groups and in each trial,0,0,0,0,0
